Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
74,74,121,Aug 19,ATL,,HOU,W6-2,CG,4,4,1,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0,.288,.326,.500,.826,8,.43,0.031,.36,0.02%,-0.05,12.00,15.20,CF
75,75,122,Aug 20,ATL,,HOU,W5-4,CG(11),4,4,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.287,.325,.500,.825,8,1.56,0.066,1.20,0.03%,0.29,9.00,12.70,CF
76,76,123,Aug 21,ATL,,HOU,L4-5,CG,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.283,.321,.493,.813,7,1.48,-0.152,1.18,-0.07%,-0.96,0.00,0.00,CF
77,77,124,Aug 22,ATL,@,PIT,W2-1,CG,3,1,1,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,.286,.328,.505,.833,8,1.09,0.244,.73,0.10%,1.95,20.00,28.20,CF
78,78,125,Aug 23,ATL,@,PIT,W6-1,CG,4,4,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,.285,.327,.505,.832,7,.63,0.121,.50,0.06%,0.80,7.00,9.20,CF
79,79,126,Aug 24,ATL,@,PIT,W14-2,CG,5,3,2,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,.286,.331,.504,.835,8,.21,0.007,.17,0.00%,0.50,11.00,15.40,CF
80,80,127,Aug 26,ATL,@,STL,W11-4,CG,5,4,2,2,2,0,0,1,0,0,1,1,0,0,0,0,0,0,.289,.336,.511,.846,8,.43,0.016,.38,0.01%,1.47,18.00,24.90,CF
81,81,128,Aug 27,ATL,@,STL,L5-6,CG,4,4,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,.288,.334,.507,.841,7,1.10,-0.063,1.00,-0.03%,-0.38,5.00,6.50,CF
82,82,129,Aug 28,ATL,@,STL,L3-6,CG,4,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.298,.343,.517,.860,8,1.02,0.158,.81,0.08%,1.34,14.00,15.00,CF
83,83,130,Aug 30,ATL,,COL,L2-3,CG,5,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,.296,.341,.512,.852,2,1.67,-0.027,1.35,-0.01%,-0.17,8.00,9.00,CF
84,84,131,Aug 31,ATL,,COL,W3-2,CG,3,2,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,.298,.344,.515,.859,6,.39,-0.016,.32,-0.01%,-0.34,7.00,9.00,CF
85,85,132,Sep 1,ATL,,COL,W3-0,CG,3,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.298,.344,.523,.867,6,.56,0.084,.46,0.04%,0.73,14.00,18.70,CF
86,86,133,Sep 2,ATL,,MIA,W8-1,CG,4,4,2,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.301,.346,.533,.878,6,.33,0.050,.25,0.02%,1.48,21.00,28.40,CF
87,87,134,Sep 3,ATL,,MIA,W2-1,CG,4,4,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,.303,.347,.535,.883,6,1.40,0.125,1.10,0.06%,-0.01,8.00,9.00,CF
88,88,135,Sep 4,ATL,,MIA,W7-1,CG,4,4,1,3,0,0,0,2,0,0,1,0,0,0,0,0,0,1,.309,.352,.538,.890,6,.56,-0.001,.50,0.00%,0.71,15.00,19.20,CF
89,89,136,Sep 6,ATL,@,OAK,W10-9,CG,5,5,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,.307,.350,.533,.883,7,1.00,0.040,1.01,0.02%,-0.29,7.00,9.70,CF
90,90,137,Sep 7,ATL,@,OAK,W7-3,CG,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.310,.352,.533,.884,7,.83,-0.012,.92,-0.01%,0.61,8.00,9.20,CF
91,91,138,Sep 9,ATL,@,SEA,W6-4,CG,4,4,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,.312,.353,.544,.898,7,.77,0.174,.82,0.11%,1.18,21.00,27.90,CF
92,92,139,Sep 10,ATL,@,SEA,L1-3,CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.309,.350,.539,.890,6,1.19,-0.095,1.32,-0.06%,-0.54,0.00,0.00,CF
93,93,140,Sep 11,ATL,@,SEA,L7-8,CG,4,4,2,2,0,0,2,4,0,0,1,0,0,0,0,0,0,0,.311,.352,.557,.909,7,.73,-0.024,.81,-0.02%,2.98,32.00,44.40,CF
94,94,141,Sep 12,ATL,@,SFG,L2-3,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.311,.351,.553,.904,6,1.90,-0.174,1.93,-0.11%,-0.95,3.00,3.00,CF
95,95,142,Sep 13,ATL,@,SFG,W5-1,CG,4,4,1,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,.313,.353,.556,.908,6,.67,0.088,.69,0.05%,0.19,12.00,15.70,CF
96,96,143,Sep 14,ATL,@,SFG,L1-4,CG,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.310,.350,.551,.900,6,1.08,-0.079,1.29,-0.06%,-0.69,0.00,0.00,CF
97,97,144,Sep 16,ATL,,PHI,W7-2,CG,4,4,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,.309,.349,.547,.896,7,.92,-0.046,1.09,-0.03%,0.38,7.00,9.70,CF
98,98,145,Sep 17,ATL,,PHI,W4-3,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.306,.345,.541,.886,6,1.03,-0.102,1.26,-0.08%,-1.49,0.00,0.00,CF
99,99,146,Sep 18,ATL,,PHI,W5-2,CG,4,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.305,.344,.541,.885,7,.68,0.021,.78,0.02%,-0.10,9.00,12.40,CF
100,100,147,Sep 19,ATL,,WSN,W5-2,CG,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,.305,.343,.537,.880,6,.52,-0.013,.63,-0.01%,-0.81,12.00,15.70,CF
101,101,148,Sep 20,ATL,,WSN,W3-2,CG,3,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,.306,.345,.537,.883,7,.51,0.029,.62,0.02%,0.38,10.00,12.00,CF
102,102,149,Sep 21,ATL,,WSN,L2-3,CG,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.308,.347,.537,.884,6,1.99,-0.153,2.44,-0.11%,-1.13,6.00,6.00,CF
103,103,150,Sep 22,ATL,@,PHI,L0-1,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.305,.344,.531,.875,7,2.45,-0.251,2.94,-0.18%,-1.58,0.00,0.00,CF
104,104,151,Sep 23,ATL,@,PHI,L1-9,GS-7,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.301,.340,.525,.865,2,.39,-0.038,.44,-0.03%,-0.87,0.00,0.00,CF
105,105,152,Sep 24,ATL,@,PHI,W6-3,CG,4,4,1,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,.306,.344,.538,.882,6,.61,0.119,.48,0.06%,2.43,24.00,31.20,CF
106,106,153,Sep 25,ATL,@,PHI,W8-7,CG(11),6,4,1,1,0,0,0,1,2,0,1,0,0,0,0,0,1,1,.305,.346,.535,.882,2,1.50,0.108,1.63,0.07%,0.71,16.00,21.70,CF
107,107,154,Sep 26,ATL,@,WSN,W8-0,CG,4,4,1,1,0,0,0,0,0,0,2,0,0,0,0,1,1,0,.305,.345,.532,.878,4,.72,-0.013,.79,-0.01%,0.11,10.00,12.20,CF
108,108,155,Sep 27,ATL,@,WSN,W8-2,CG,5,5,2,2,0,1,0,2,0,0,1,0,0,0,1,0,0,0,.306,.346,.536,.882,5,.54,0.236,.69,0.18%,2.41,19.00,25.40,CF
109,109,156,Sep 28,ATL,@,WSN,L2-3,CG(10),5,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.305,.344,.531,.876,3,2.06,0.054,3.58,0.06%,0.10,3.00,3.00,CF
110,110,157,Sep 30,ATL,,NYM,W5-2,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.304,.344,.529,.872,3,.49,-0.053,1.26,-0.08%,-0.75,3.00,3.00,CF
111,111,158,Oct 1,ATL,,NYM,W4-2,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.301,.340,.523,.864,3,.86,-0.093,3.12,-0.20%,-1.01,0.00,0.00,CF
112,112,159,Oct 2,ATL,,NYM,W5-3,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.298,.337,.518,.856,3,.98,-0.138,4.02,-0.34%,-1.60,0.00,0.00,CF
113,113,160,Oct 3,ATL,@,MIA,L0-4,CG,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.296,.336,.515,.851,3,.98,-0.062,.46,-0.02%,-0.87,2.00,3.00,CF
114,114,161,Oct 4,ATL,@,MIA,W2-1,CG,4,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,.297,.339,.514,.853,8,1.22,0.052,1.01,0.03%,0.45,5.00,6.00,CF
